Pull Request Number,Title,Label by Melika,Label by Milad,Comment Messages,Merged,Time to Merge,Comments,Review Comments,Review Messages,Lines of Code Changed
283,Bump snakeyaml from 1.33 to 2.0,Performance issues,Performance issues,[],Yes,04:09:21,2,0,[''],2
282,Support SnakeYAML 2.0,Performance issues,Performance issues,[],Yes,06:43:58,0,0,[],19
281,Bump log4j.version from 2.19.0 to 2.20.0,Security issues,Security issues,[],Yes,02:45:25,0,0,[],2
280,Bump spring.version from 5.3.25 to 6.0.5,Performance issues,Security issues,[],No,,0,0,[],2
279,Bump actions/cache from 3.2.5 to 3.2.6,Security issues,Functional bugs,[],Yes,00:18:52,0,0,[''],2
278,Bump spring.version from 5.3.24 to 5.3.25,Security issues,Performance issues,[],Yes,"6 days, 22:10:46",0,0,[],2
277,Bump actions/setup-java from 3.9.0 to 3.10.0,Security issues,Security issues,[],Yes,00:30:24,1,0,[],4
276,Bump actions/cache from 3.2.4 to 3.2.5,Security issues,Performance issues,[],Yes,00:30:46,1,0,[],2
275,Bump mockito-core from 4.11.0 to 5.1.1,Performance issues,Performance issues,[],No,,0,0,[],2
274,Bump jackson-databind from 2.14.1 to 2.14.2,Security issues,Performance issues,[],Yes,00:09:27,1,0,[],2
273,Bump actions/cache from 3.2.3 to 3.2.4,Performance issues,Performance issues,[],Yes,00:10:18,1,0,[],2
272,Remove unused declarations.,Performance issues,Performance issues,[],No,,2,0,[],2
271,Replace lambdas with method references.,Code style problems,Code style problems,[],No,,0,0,[],5
270,Migrate to SnakeYAML Engine,Performance issues,Performance issues,"[""-1 obviously, you can't turn off this check for binary compatibility. "", 'it is binary incompatible', '@garydgregory can you please suggest the way to continue ?', ""Yes: Don't change that setting. You cannot break binary compatibility (BC) outside of a major release upgrade. If this PR breaks BC, then it's -1.\r\n\r\nGary"", '@garydgregory how can I indicate that it is a backwards incompatible change ? To be included in the next major release. I think the master branch is exactly for it', ""You don't indicate anything, and you don't turn off JApiCmd as JApiCmd will fail the build if the PR breaks BC."", '@garydgregory I did not quite catch you. Do you mean that I need to provide a PR which breaks the build ? ']",No,,6,7,"[""Hi @asomov , thanks for the PR.\r\n\r\nI've enabled the workflow to see what's the status of the build.\r\n\r\nI haven't followed much of the development in these Java YAML libraries, but this task would require a JIRA issue too so that others can comment here/there, and also for the changelog. Could you create one, please?\r\n\r\nAnd since it changes the public API, I believe we would have to assign it to a major release.\r\n\r\nIf you have more updates to this PR, please push your changes to the same branch so this PR is updated, instead of closing and creating new PR's, since that means someone will have to allow the workflow to run (as it's your first contribution to this repository - GitHub Actions security) and also since the previous comments and reviews would be discarded when this PR is closed.\r\n\r\nThank you!\r\nBruno"", 'See comment.', '', '', '', '', '', '', 'I am marking this as -1 and ""request change"" in GH to fix BC checking. We cannot keep this PR open as a green build PR in case it gets merged by accident. It can stay open with a failing build.']",119
269,Migrate to SnakeYAML Engine,Performance issues,Performance issues,[],No,,1,0,[],119
268,Bump mockito-core from 4.11.0 to 5.0.0,Performance issues,Performance issues,[],No,,1,0,[],2
267,Bump maven-checkstyle-plugin from 3.2.0 to 3.2.1,Security issues,Performance issues,[],No,,2,0,[],2
266,Bump spring.version from 5.3.24 to 6.0.4,Performance issues,Performance issues,[],No,,1,0,[],2
265,Bump actions/cache from 3.2.2 to 3.2.3,Security issues,Performance issues,[],Yes,00:31:10,1,0,[],2
264,Bump actions/checkout from 3.2.0 to 3.3.0,Security issues,Functional bugs,[],Yes,02:27:09,1,0,[],8
263,Bump actions/upload-artifact from 3.1.1 to 3.1.2,Functional bugs,Functional bugs,[],Yes,02:26:58,1,0,[],2
262,Bump checkstyle from 9.3 to 10.6.0,Performance issues,Performance issues,[],No,,2,0,[],2
261,Bump slf4j.version from 2.0.5 to 2.0.6,Security issues,Performance issues,[],No,,2,0,[],2
260,Bump spring.version from 5.3.23 to 6.0.3,Performance issues,Performance issues,[],No,,1,0,[],2
259,Bump mockito-core from 4.10.0 to 4.11.0,Code style problems,Code style problems,[],Yes,01:14:54,1,0,[],2
258,Bump actions/cache from 3.2.1 to 3.2.2,Security issues,Functional bugs,[],Yes,00:27:35,1,0,[],2
257,Bump mockito-core from 4.9.0 to 4.10.0,Security issues,Code style problems,[],Yes,03:15:55,0,0,[],2
256,Bump ossf/scorecard-action from 2.1.0 to 2.1.2,Security issues,Code style problems,[],Yes,03:16:58,0,0,[],2
255,Bump actions/cache from 3.0.11 to 3.2.1,Performance issues,Functional bugs,[],Yes,01:37:31,0,0,[''],2
