Pull Request Number,Title,Label by Melika,Label by Milad,Comment Messages,Merged,Time to Merge,Comments,Review Comments,Review Messages,Lines of Code Changed
1036,Typo in EnumUtils class,Code style problems,Code style problems,[],Yes,02:53:02,0,0,['Thanks!'],4
1035,Механический перевод тестов на spock,Missing tests,Missing tests,[],No,,1,0,[],918
1034,Bump actions/cache from 3.2.5 to 3.2.6,Performance issues,Performance issues,[],Yes,00:39:05,0,0,[],6
1033,"[LANG-1694] MethodUtils.getMatchingMethod() fails with ""Found multiple candidates""",Functional bugs,Functional bugs,[],Yes,"6 days, 10:05:49",4,0,[],16
1032,"[LANG-1694]'MethodUtils.getMatchingMethod' fails with ""Found multiple candidates"" when the method is abstract",Functional bugs,Performance issues,[],No,,2,0,[],20
1031,(doc) Fix typos in Javadoc,Code style problems,Functional bugs,[],Yes,00:26:10,2,0,['Thanks!!'],6
1030,Added new example for containsAny method,Performance issues,Performance issues,[],No,,4,0,[],1
1029,Added empty string example for appendIfMissing method,Functional bugs,Functional bugs,[],No,,1,0,[],1
1028,Bump actions/cache from 3.2.4 to 3.2.5,Security issues,Security issues,[],Yes,00:06:42,1,0,[''],6
1027,Bump actions/setup-java from 3.9.0 to 3.10.0,Performance issues,Performance issues,[],Yes,00:05:47,1,0,[''],4
1026,Use (<p>) to split the text to different paragraphs in Javadoc comments.,Code style problems,Code style problems,"['Uh?', '`<p>`This is a paragraph.`</p>`', 'done', 'Did you not see my example?', 'Are you not trying a local build before you push to git?', ""@arturobernalg \r\n`<p>`This is a paragraph.`</p>`, you can't embed lists per the errors in the build. Again, run a 'mvn' build before you push and you will discover this type of issue without forcing reviewers to ping you for broken builds. TY.""]",No,,7,6,"['', '', '', '', '', '']",200
1025,Bump junit-pioneer from 1.9.1 to 2.0.0,Performance issues,Performance issues,[],No,,1,0,[],2
1024,Bump actions/cache from 3.2.3 to 3.2.4,Security issues,Functional bugs,[],Yes,00:24:56,1,0,[''],6
1023,Use qualifiers removing unnecessary object allocation.,Performance issues,Performance issues,[],No,,1,0,[],4
1022,Use Objects.requireNonNull() directly.,Code style problems,Functional bugs,[],Yes,"11 days, 19:52:18",1,0,[],12
1020,Bump maven-checkstyle-plugin from 3.2.0 to 3.2.1,Security issues,Functional bugs,[],No,,2,0,[],2
1019,Bump actions/cache from 3.2.2 to 3.2.3,Security issues,Functional bugs,[],Yes,01:35:36,1,0,[],6
1018,Several optimizations in the method formatDurationWords,Performance issues,Performance issues,[],No,,1,0,[],67
1017,Fixes typos in javadoc,Code style problems,Functional bugs,[],Yes,19:04:28,2,0,['Thank you!'],20
1016,Removes unnecessary method references,Performance issues,Performance issues,[],No,,2,0,"[""+0 I'm fine either way, but I don't mind it including the method name (easier to guess where the code is going without opening the other file?).\r\n\r\nThanks! ""]",4
1015,Explicitly checks string for emptiness to prevent the exception logic overhead,Performance issues,Performance issues,[],No,,7,0,[],36
1014,Bump actions/checkout from 3.2.0 to 3.3.0,Performance issues,Functional bugs,[],Yes,03:32:58,1,0,[],8
1013,Bump actions/upload-artifact from 3.1.1 to 3.1.2,Security issues,Security issues,[],Yes,03:32:47,1,0,[],2
1012,Bump easymock from 5.0.1 to 5.1.0,Performance issues,Performance issues,[],Yes,00:25:49,0,0,[],2
1011,Bump commons-parent from 55 to 56,Code style problems,Performance issues,[],Yes,00:25:07,0,0,[],2
1010,Bump checkstyle from 9.3 to 10.6.0,Performance issues,Performance issues,[],No,,1,0,[],2
1009,Add example for space in StringUtils#indexOfIgnoreCase(),Missing tests,Missing tests,[],Yes,"38 days, 22:38:04",1,0,[''],1
1008,Make java.desktop module optional,Performance issues,Code style problems,[],No,,0,0,[],108
1007,Added new examples for rightPad method,Missing tests,Missing tests,[],No,,4,0,[],4
1006,Added empty string example for isMixedCase method.,Missing tests,Missing tests,[],Yes,01:15:36,2,0,['Thanks!'],1
1005,formatted java.lang package.,Performance issues,Code style problems,[],No,,1,0,['Thanks for the PR. I **think** this file is generated automatically by the ... build or the release plug-in. This text comes from `pom.xml` and will be replaced when the file is re-generated (not sure if the syntax could be updated in `pom.xml` either).'],4
1004,Bump actions/cache from 3.2.1 to 3.2.2,Security issues,Performance issues,[],Yes,00:06:16,1,0,[],6
1003,Bump ossf/scorecard-action from 2.1.0 to 2.1.2,Performance issues,Code style problems,[],Yes,04:18:58,0,0,[],2
1002,Bump actions/cache from 3.0.11 to 3.2.1,Performance issues,Code style problems,[],Yes,02:33:23,0,0,[''],6
1001,Fix typo,Code style problems,Missing tests,[],Yes,04:37:06,1,0,[],2
1000,Bump commons-parent from 54 to 55,Code style problems,Performance issues,[],Yes,00:52:43,1,0,[],2
999,Bump ossf/scorecard-action from 2.0.6 to 2.1.0,Performance issues,Performance issues,[],Yes,00:54:09,1,0,[],2
998,Bump actions/setup-java from 3.8.0 to 3.9.0,Security issues,Security issues,[],Yes,00:54:29,1,0,[''],4
997,Bump actions/checkout from 3.1.0 to 3.2.0,Security issues,Performance issues,[],Yes,00:54:48,1,0,[''],8
996,Bump actions/setup-java from 3.6.0 to 3.8.0,Perfomance issues,Perfomance issues,[],Yes,00:10:03,0,0,[],4
995,Bump junit-pioneer from 1.9.0 to 1.9.1,Security issues,Security issues,[],Yes,00:19:50,0,0,[''],2
994,Bump checkstyle from 9.3 to 10.5.0,Code style problems,Code style problems,[],No,,1,0,[],2
993,NumberUtils check if Number is null or zero,Code style problems,Performance issues,[],No,,1,0,[],112
992,NumberUtils check if Number is null or zero,Code style problems,Performance issues,[],No,,2,0,[],51
991,Bump junit-pioneer from 1.8.0 to 1.9.0,Security issues,Security issues,[],Yes,04:52:54,0,0,[''],4
990,Bump jmh.version from 1.35 to 1.36,Security issues,Security issues,[],Yes,04:51:13,0,0,[''],4
989,Bump spotbugs-maven-plugin from 4.7.2.1 to 4.7.3.0,Performance issues,Performance issues,[],Yes,18:19:28,1,0,[''],4
988,Bump junit-pioneer from 1.7.1 to 1.8.0,Security issues,Performance issues,[],Yes,18:21:22,1,0,[''],4
987,Bump checkstyle from 9.3 to 10.4,Performance issues,Performance issues,[],No,,2,0,[],2
986,Bump easymock from 5.0.0 to 5.0.1,Security issues,Performance issues,[],Yes,"2 days, 3:58:02",0,0,[],2
985,Bump actions/upload-artifact from 3.1.0 to 3.1.1,Security issues,Security issues,[],Yes,"2 days, 3:58:56",1,0,[],2
984,Use IntStream,Performance issues,Performance issues,['The previous implementation was a lot easier to read and created less garbage. This one introduces a bunch of unnecessary objects at seemingly no benefit?'],No,,1,1,[''],36
983,Simplify streams.,Code style problems,Performance issues,['Why clutter up the code with all these type-casts? Just let the compiler pick up the `long` version of the JUnit API IMO.'],No,,1,1,"['', 'Hi @arturobernalg:  See my inline comment.']",35
982,Remove unnecessary else conditions.,Performance issues,Performance issues,[],No,,1,0,['-1 as this change deletes helpful documentation.'],3
981,Fix simple broken javadoc.,Functional bugs,Performance issues,[],Yes,20:25:43,1,0,[],5
980,Make a non-access modifier local variables.,Code style problems,Code style problems,[],No,,1,0,[],42
979,Use constant properties instead.,Performance issues,Performance issues,[],No,,0,0,[],8
978,Bump ossf/scorecard-action from 1.1.2 to 2.0.6,Perfomance issues,Perfomance issues,[],No,,1,0,[],2
977,Bump actions/setup-java from 3.5.1 to 3.6.0,Performance issues,Performance issues,[],Yes,12:18:08,0,0,[''],4
976,Use java stream in ArrayUtils.,Code style problems,Code style problems,[],No,,4,0,[],88
975,Use java stream in TypeUtils.,Code style problems,Code style problems,[],No,,1,0,[],122
974,Use java stream in StringUtils.,Code style problems,Performance issues,[],No,,0,0,[],192
973,Bump spotbugs from 4.7.2 to 4.7.3,Code style problems,Performance issues,[],Yes,01:11:28,1,0,[],2
972,Bump easymock from 4.3 to 5.0.0,Performance issues,Performance issues,[],Yes,01:12:47,0,0,[],2
971,Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1,Security issues,Performance issues,[],Yes,02:20:38,1,0,[],2
970,Bump actions/cache from 3.0.10 to 3.0.11,Security issues,Performance issues,[],Yes,02:22:19,0,0,[],6
969,Add and use PAD character constant for ' '.,Performance issues,Performance issues,"['Does not need to be public.', 'done', 'No need for a blank Javadoc line.', 'done', 'The concept here is not ""padding"", it\'s ""spacing"", so it does not feel appropriate to use the name ""PAD"".  Note that we have a SPACE constant already but it\'s a String, not a char, so maybe we need a private space char constant. I\'m not sure.', ""HI @garydgregory .You're right., I have the same doubt. For the moment I removed that change ""]",No,,1,6,"['', '', '', '', '', '']",15
968,Add CalendarUtils#getDayOfYear(),Performance issues,Performance issues,"['Wrong version.', 'done. Set to 3.13.0']",Yes,"4 days, 0:49:05",1,2,"['', '']",15
967,"add StringUtils.substringBeforeLast(String, int)",Code style problems,Performance issues,[],No,,2,0,[],35
966,Make a non-access modifier local variables.,Code style problems,Code style problems,[],Yes,01:00:18,1,0,[],8
965,Remove unnecessary conditions. It's no need it after assigns tmp to duration,Performance issues,Performance issues,"['Or is it a bug? Maybe a copypasta bug where accidentally lines 190 and 192 were duplicated? Because there are `replaceOne` for ""hour"" and ""minute"", and this block that was removed has the part for ""seconds"".', ""Hi @kinow \r\nYes, could be a bug as well.  In any case we don't need that conditions.\r\nTY""]",No,,1,2,"['', '']",3
