Pull Request Number,Title,Merged,Time to Merge,Comments,Review Comments,Comment Messages,Review Messages,Lines of Code Changed
1036,Typo in EnumUtils class,Yes,2:53:02,0,0,[],['Thanks!'],4
1035,Механический перевод тестов на spock,No,,1,0,[],[],918
1034,Bump actions/cache from 3.2.5 to 3.2.6,Yes,0:39:05,0,0,[],[],6
1033,"[LANG-1694] MethodUtils.getMatchingMethod() fails with ""Found multiple candidates""",Yes,"6 days, 10:05:49",4,0,[],[],16
1032,"[LANG-1694]'MethodUtils.getMatchingMethod' fails with ""Found multiple candidates"" when the method is abstract",No,,2,0,[],[],20
1031,(doc) Fix typos in Javadoc,Yes,0:26:10,2,0,[],['Thanks!!'],6
1030,Added new example for containsAny method,No,,4,0,[],[],1
1029,Added empty string example for appendIfMissing method,No,,1,0,[],[],1
1028,Bump actions/cache from 3.2.4 to 3.2.5,Yes,0:06:42,1,0,[],[''],6
1027,Bump actions/setup-java from 3.9.0 to 3.10.0,Yes,0:05:47,1,0,[],[''],4
1026,Use (<p>) to split the text to different paragraphs in Javadoc comments.,No,,7,6,"['Uh?', '`<p>`This is a paragraph.`</p>`', 'done', 'Did you not see my example?', 'Are you not trying a local build before you push to git?', ""@arturobernalg \r\n`<p>`This is a paragraph.`</p>`, you can't embed lists per the errors in the build. Again, run a 'mvn' build before you push and you will discover this type of issue without forcing reviewers to ping you for broken builds. TY.""]","['', '', '', '', '', '']",200
1025,Bump junit-pioneer from 1.9.1 to 2.0.0,No,,1,0,[],[],2
1024,Bump actions/cache from 3.2.3 to 3.2.4,Yes,0:24:56,1,0,[],[''],6
1023,Use qualifiers removing unnecessary object allocation.,No,,1,0,[],[],4
1022,Use Objects.requireNonNull() directly.,Yes,"11 days, 19:52:18",1,0,[],[],12
1020,Bump maven-checkstyle-plugin from 3.2.0 to 3.2.1,No,,2,0,[],[],2
1019,Bump actions/cache from 3.2.2 to 3.2.3,Yes,1:35:36,1,0,[],[],6
1018,Several optimizations in the method formatDurationWords,No,,1,0,[],[],67
1017,Fixes typos in javadoc,Yes,19:04:28,2,0,[],['Thank you!'],20
