Pull Request Number,Title,Merged,Time to Merge,Comments,Review Comments,Comment Messages,Review Messages,Lines of Code Changed
230,MATH-1654: optimize Array2DRowRealMatrix getEntry,Yes,"1 day, 2:46:51",0,0,[],[],10
229,Updated copyright to 2023,No,,0,0,[],[],2
228,[docs]: fix small error,No,,0,0,[],[],2
227,Fix rolling mean example code in Statistics docs,Yes,9:33:03,1,0,[],[],3
226,Extract commons value.,No,,1,1,"['This loop is a bug. There should not be two return statements in the for loop. The candidate should only be stored if it is not the same as all the values in the list. I have updated master with the fix.\r\n\r\nAs for the rest of the changes these are all of the type:\r\n```\r\nif () {\r\n   x = ...\r\n   return x\r\n} else {\r\n   x = ...\r\n   return x\r\n}\r\n```\r\nto:\r\n```\r\nif () {\r\n   x = ...\r\n} else {\r\n   x = ...\r\n}\r\nreturn x\r\n```\r\nI do not see any benefit to this change. It introduces an extra jump condition for the first block which must jump then return, rather than just returning.']",[''],54
225,Improve formatting.,Yes,"1 day, 1:23:54",1,2,"['I do not mind the duplicate code. I am assuming this has been written based on a known method for the 5(4) Higham and Hall integrator and would be recognisable when compared to the original source.\r\n\r\nHowever it can be improved with better formatting within the else block:\r\n```Java\r\nfinal double b0 = h * (-1.0/12.0   + theta  * (1.0        + theta * (-15.0/4.0   + theta * (16.0/3.0 + theta * -5.0/2.0))));\r\nfinal double b2 = h * (-27.0/32.0  + theta2 * (459.0/32.0 + theta * (-243.0/8.0  + theta * 135.0/8.0)));\r\nfinal double b3 = h * (4.0/3.0     + theta2 * (-22.0      + theta * (152.0/3.0   + theta * -30.0)));\r\nfinal double b4 = h * (-125.0/96.0 + theta2 * (375.0/32.0 + theta * (-625.0/24.0 + theta * 125.0/8.0)));\r\nfinal double b5 = h * (-5.0/48.0   + theta2 * (-5.0/16.0  + theta *  5.0/12.0));\r\n```', ""I'm not 100% convinced. But I've done the PR anyway""]","['', '']",8
224,Remove unnecessary unary operator.,No,,2,0,[],[],60
223,Simplify assertion same result but simplest.,No,,2,14,"['This is testing the `equals()` method. Please revert.', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'This is testing `equals()`, please revert', 'No delta required when delta==0.0', 'The method without delta its deprecated. `Deprecated\r\nUse assertEquals(double expected, double actual, double delta) instead` ', 'This still needs to be reverted. Thanks.']","['A load of changes here in methods named testEqualsAndHashCode. These must test the equals method to get path coverage. So please revert them.\r\n\r\nThis also fails CI on Java 8 for a compile error. Please check that.', '', '']",16
222,JUnit5 assertThrows ExponentialDecayFunctionTest,Yes,0:06:18,2,0,[],[],27
221,JUnit5 assertThrows QuasiSigmoidDecayFunctionTest,Yes,0:07:38,0,0,[],[],21
220,JUnit5 assertThrows LearningFactorFunctionFactoryTest,Yes,0:09:15,0,0,[],[],56
219,MATH-1569 - Manual array copy.,Yes,"4 days, 23:26:50",10,14,"['use `> 0` as arraycopy with a length of 0 is a wasted call to a native method. Add enclosing braces to fix checkstyle.', '`> 0`', '`> 0`', '`> 0`', '`> 0`', '`> 0`', 'This is wrong', 'This is wrong', 'This is wrong. f[0 and f[1] have been set and should be duplicated through the array.', 'Since you removed two lines above `527` this should be `""525,739""`. Please change and verify with `mvn checkstyle:check` in this module.', 'done.', 'Now you have fixed the checkstyle suppressions file, you can revert the changes to the parentheses', 'I think this may be better as:\r\n```Java\r\nfinal Complex[] c = coefficients.clone();\r\n```', 'This is still not updated to use ` > 0`']","['Checkstyle is failing this too. The changes to use arraycopy look good but please add the missing enclosing braces.', '', 'I noticed the CI build failure on the same tests in the differentiation package. This is because some of the loop copy statements are duplicating the first 2 elements through the rest of the array. This is different from a system arraycopy which will copy the first two elements to the next two elements. But the downstream elements are not duplicates of the first two, they are copies of the two previous elements in the original array:\r\n\r\n```\r\ndata = [a, b, c, d, e, f]\r\n\r\nfor (int i = 2; i < data.length; ++i) {\r\n    data[i] = data[i - 2];\r\n}\r\n// data = [a, b, a, b, a, b]\r\n\r\narraycopy(data, 0, data, 2, data.length - 2);\r\n// data = [a, b, a, b, c, d]\r\n```\r\n', '', '', 'Nearly there. 1 small change not yet done, 1 reversion, and a new change to use array.clone().\r\n\r\nThanks.']",41
218,JUnit5 assertThrows NeighbourhoodSizeFunctionFactoryTest,Yes,0:12:43,0,0,[],[],44
217,java 8 improvements. ,No,,4,15,"['Should this be `if (shiftedP.length -1 > 0)` (since we cannot copy length=0).\r\n\r\nPlease add enclosing braces.', 'Whitespace indentation', 'Indentation again', ""Didn't notice this before. I would not remove the extra parentheses as it makes it obvious over knowing the operator precedence of && over ||."", 'Again please revert', 'Please revert', 'use `> 0`', 'done.', 'done.', 'done.', 'done.', 'Please revert the indentation too', 'This has incorrect indentation', 'Done', 'Done']","['Thanks for the updates. A few small changes required.\r\n\r\nNote that CI is failing on checkstyle unused imports.', 'Some minor reversions please. Thanks.', '', '', '', '', 'A couple of whitespace issues to fix please', '', '']",107
216,JUnit5 assertThrows NeuronSquareMesh2DTest,Yes,11:50:52,1,3,"['Again, remove `Executable`. It is good practice to have only one potential source for the exception inside the assertThrows lambda. E.g. this is bad as the exception could be from either line:\r\n```Java\r\nassertThrows(IllegalArgumentException.class, () -> {\r\n    ClassA a = new ClassA();\r\n    ClassB b = new ClassB(a);\r\n});\r\n```\r\nThis would be where we create object `a` outside the assertThrows and then isolate where we expect the exception (from `b`).\r\n\r\nSince we have a clean lambda function here then just put it in assertThrows.', 'In the case where the style has aligned trailing arguments can you try and keep to the formatting, e.g.\r\n```Java\r\n//                     | aligned here\r\nnew NeuronSquareMesh2D(1, false,\r\n                       2, false,\r\n                       SquareNeighbourhood.VON_NEUMANN,\r\n                       initArray));\r\n```\r\n\r\nThis alignment aids readability (for the original content creator, opinions may differ) and is used across the codebase. When not used then trailing lines are either 4 or 8 space indent.\r\n', ""done alignment, i'm just using IntelliJ auto formatting, if your aware of a Apache Commons Code Style file for IntelliJ it would make life easier in future.""]","['', '', '']",26
215,JUnit5 assertThrows MapRankingTest,Yes,11:51:58,3,2,"['Here is an example where the source of the exception is not clear. Can you break this down to create the valid objects first and catch the exception from I presume `MapRanking.rank`.', 'extracted setup, so only rank is checked.']","['', '']",15
214,JUnit5 assertThrows TransformUtilsTest,Yes,0:37:57,0,2,"['I would remove the import of `Executable` and just use the lambda function direct within assertThrows.', 'happy to refactor to your style, i just find it easier this way with junior/new developers than making messy lambda function blocks.']","['', '']",19
213,[MATH-1651] fix flaky test in commons-math-neuralnet,No,,3,0,[],[],28
212,Include the initial point in the minimum number of points to form a c…,No,,0,0,[],[],41
211,MATH-1647: fixed HaltonSequenceGenerator.skipTo() method to throw Not…,No,,1,0,[],[],15
210,MATH-1648: Derivative computations for BicubicInterpolator,No,,12,22,"['Q. Why has this been replaced with the matrix multiply?\r\n\r\nUsing the Matrix objects is far less efficient.', 'These can all drop the public keyword.', 'Add ` * ` at the start of the line for correct javadoc formatting', 'Have you tested this when `xR` and `yR` are not 1? I would suggest simply repeating the test with `xR` and `yR` as  0.5 and 2 then testing the derivative is correctly scaled.\r\n', '`BicubicSplineFunction` does not exist; it should be `BicubicFunction`', '`BicubicSplineInterpolatingFunction` does not exist', '`BicubicSplineInterpolator` does not exist', '`BicubicSplineInterpolatingFunction` does not exist', '`BicubicSplineInterpolatingFunction` does not exist. Please update all 5 references in the javadoc of this class to `BicubicInterpolatingFunction`', 'I thought using the Matrix functionality would have made the code much clearer than reinventing the wheel.\r\nIf you want I can rollback it to the previous method (that was indeed multiplying the matrix with the column) but I would expect the matrix packages/classes to be as mush as efficient ... ', 'Done!', 'Done!', 'Look at testMatchingPartialDerivatives test.', 'Done!', 'Done!', 'Done!', 'Done!', 'Done!', 'If you find the actual method in `org.apache.commons.math4.legacy.linear.Array2DRowRealMatrix.multiply` then you will see that it is not efficient at all. In my experience using the OO matrix classes is 5-10x slower than a manually written implementation that avoids defensive copying of all intermediate arrays.\r\n\r\nPlease revert the change as it is not required (functionality is the same).', 'That uses an interval of 1 / 20 for both axes. Perhaps update to have different step sizes for each axis. This will ensure xR and yR are not mixed up.', 'I feel kinda sad.\r\nAnyway I reverted as you suggested !', ""Done ! I updated that test to have different xval and yval array, and it's still working.""]","['Thanks for the addition.\r\n\r\nThere are some javadoc errors due to referencing the old class names with `Spline`.\r\n\r\nI do not understand why there was a switch to the matrix multiplication. The original `computeSplineCoefficients` would be much more efficient. IIUC it should be a simple row vs column multiplication.\r\n', '', '', '', '', '', '', '', '', '', '', '', '', '']",496
209,MATH-1563: Introducing new implementation of GA functionality (WIP).,No,,0,0,[],[],1249
