Pull Request Number,Title,Merged,Time to Merge,Comments,Review Comments,Lines of Code Changed
1036,Typo in EnumUtils class,Yes,02:53:02,0,0,4
1035,Механический перевод тестов на spock,No,,1,0,918
1034,Bump actions/cache from 3.2.5 to 3.2.6,Yes,00:39:05,0,0,6
1033,"[LANG-1694] MethodUtils.getMatchingMethod() fails with ""Found multiple candidates""",Yes,"6 days, 10:05:49",4,0,16
1032,"[LANG-1694]'MethodUtils.getMatchingMethod' fails with ""Found multiple candidates"" when the method is abstract",No,,2,0,20
1031,(doc) Fix typos in Javadoc,Yes,00:26:10,2,0,6
1030,Added new example for containsAny method,No,,4,0,1
1029,Added empty string example for appendIfMissing method,No,,1,0,1
1028,Bump actions/cache from 3.2.4 to 3.2.5,Yes,00:06:42,1,0,6
1027,Bump actions/setup-java from 3.9.0 to 3.10.0,Yes,00:05:47,1,0,4
1026,Use (<p>) to split the text to different paragraphs in Javadoc comments.,No,,7,6,200
1025,Bump junit-pioneer from 1.9.1 to 2.0.0,No,,1,0,2
1024,Bump actions/cache from 3.2.3 to 3.2.4,Yes,00:24:56,1,0,6
1023,Use qualifiers removing unnecessary object allocation.,No,,1,0,4
1022,Use Objects.requireNonNull() directly.,Yes,"11 days, 19:52:18",1,0,12
1021,Created a new function for the StringUtils class.,No,,1,0,50
1020,Bump maven-checkstyle-plugin from 3.2.0 to 3.2.1,No,,2,0,2
1019,Bump actions/cache from 3.2.2 to 3.2.3,Yes,01:35:36,1,0,6
1018,Several optimizations in the method formatDurationWords,No,,1,0,67
1017,Fixes typos in javadoc,Yes,19:04:28,2,0,20
1016,Removes unnecessary method references,No,,2,0,4
1015,Explicitly checks string for emptiness to prevent the exception logic overhead,No,,7,0,36
1014,Bump actions/checkout from 3.2.0 to 3.3.0,Yes,03:32:58,1,0,8
1013,Bump actions/upload-artifact from 3.1.1 to 3.1.2,Yes,03:32:47,1,0,2
1012,Bump easymock from 5.0.1 to 5.1.0,Yes,00:25:49,0,0,2
1011,Bump commons-parent from 55 to 56,Yes,00:25:07,0,0,2
1010,Bump checkstyle from 9.3 to 10.6.0,No,,1,0,2
1009,Add example for space in StringUtils#indexOfIgnoreCase(),Yes,"38 days, 22:38:04",1,0,1
1008,Make java.desktop module optional,No,,0,0,108
1007,Added new examples for rightPad method,No,,4,0,4
1006,Added empty string example for isMixedCase method.,Yes,01:15:36,2,0,1
1005,formatted java.lang package.,No,,1,0,4
1004,Bump actions/cache from 3.2.1 to 3.2.2,Yes,00:06:16,1,0,6
1003,Bump ossf/scorecard-action from 2.1.0 to 2.1.2,Yes,04:18:58,0,0,2
1002,Bump actions/cache from 3.0.11 to 3.2.1,Yes,02:33:23,0,0,6
1001,Fix typo,Yes,04:37:06,1,0,2
1000,Bump commons-parent from 54 to 55,Yes,00:52:43,1,0,2
999,Bump ossf/scorecard-action from 2.0.6 to 2.1.0,Yes,00:54:09,1,0,2
998,Bump actions/setup-java from 3.8.0 to 3.9.0,Yes,00:54:29,1,0,4
997,Bump actions/checkout from 3.1.0 to 3.2.0,Yes,00:54:48,1,0,8
996,Bump actions/setup-java from 3.6.0 to 3.8.0,Yes,00:10:03,0,0,4
995,Bump junit-pioneer from 1.9.0 to 1.9.1,Yes,00:19:50,0,0,2
994,Bump checkstyle from 9.3 to 10.5.0,No,,1,0,2
993,NumberUtils check if Number is null or zero,No,,1,0,112
992,NumberUtils check if Number is null or zero,No,,2,0,51
991,Bump junit-pioneer from 1.8.0 to 1.9.0,Yes,04:52:54,0,0,4
990,Bump jmh.version from 1.35 to 1.36,Yes,04:51:13,0,0,4
989,Bump spotbugs-maven-plugin from 4.7.2.1 to 4.7.3.0,Yes,18:19:28,1,0,4
988,Bump junit-pioneer from 1.7.1 to 1.8.0,Yes,18:21:22,1,0,4
987,Bump checkstyle from 9.3 to 10.4,No,,2,0,2
986,Bump easymock from 5.0.0 to 5.0.1,Yes,"2 days, 3:58:02",0,0,2
985,Bump actions/upload-artifact from 3.1.0 to 3.1.1,Yes,"2 days, 3:58:56",1,0,2
984,Use IntStream,No,,1,1,36
983,Simplify streams.,No,,1,1,35
982,Remove unnecessary else conditions.,No,,1,0,3
981,Fix simple broken javadoc.,Yes,20:25:43,1,0,5
980,Make a non-access modifier local variables.,No,,1,0,42
979,Use constant properties instead.,No,,0,0,8
978,Bump ossf/scorecard-action from 1.1.2 to 2.0.6,No,,1,0,2
977,Bump actions/setup-java from 3.5.1 to 3.6.0,Yes,12:18:08,0,0,4
976,Use java stream in ArrayUtils.,No,,4,0,88
975,Use java stream in TypeUtils.,No,,1,0,122
974,Use java stream in StringUtils.,No,,0,0,192
973,Bump spotbugs from 4.7.2 to 4.7.3,Yes,01:11:28,1,0,2
972,Bump easymock from 4.3 to 5.0.0,Yes,01:12:47,0,0,2
971,Bump spotbugs-maven-plugin from 4.7.2.0 to 4.7.2.1,Yes,02:20:38,1,0,2
970,Bump actions/cache from 3.0.10 to 3.0.11,Yes,02:22:19,0,0,6
969,Add and use PAD character constant for ' '.,No,,1,6,15
968, Add CalendarUtils#getDayOfYear(),Yes,"4 days, 0:49:05",1,2,15
967,"add StringUtils.substringBeforeLast(String, int)",No,,2,0,35
966,Make a non-access modifier local variables.,Yes,01:00:18,1,0,8
965,Remove unnecessary conditions. It's no need it after assigns tmp to duration,No,,1,2,3
964,Bump actions/cache from 3.0.9 to 3.0.10,Yes,07:24:20,1,0,8
963,Bump actions/checkout from 3.0.2 to 3.1.0,Yes,07:16:37,0,0,10
962,Simplify expression (length is never < 0),Yes,"6 days, 16:09:06",1,0,2
961,Bump commons.pmd-impl.version from 6.49.0 to 6.50.0,Yes,12:01:00,0,0,3
960,Bump ossf/scorecard-action from 1.1.2 to 2.0.4,No,,2,0,2
959,Bump actions/cache from 3.0.8 to 3.0.9,Yes,12:03:44,0,0,8
958,Bump checkstyle from 9.3 to 10.3.4,No,,2,0,2
957,Bump commons-text from 1.9 to 1.10.0,Yes,00:28:22,1,0,2
956,Improve JavaDocs ,No,,8,6,2611
955,Bump junit-bom from 5.9.0 to 5.9.1,Yes,00:38:20,0,0,2
954,Bump commons-parent from 53 to 54,Yes,00:20:29,0,0,2
953,Handle error messages with special characters.,No,,11,12,79
952,Remove empty line,No,,2,0,2
951,[LANG-1692] Cast FieldUtils.readField result to the recipient type,No,,10,14,88
950,Bump ossf/scorecard-action from 1.1.2 to 2.0.3,No,,4,0,2
949,[LANG-1691] ClassUtils.getShortCanonicalName doesn't use the canonicalName,Yes,04:42:19,0,3,18
948,Bump maven-pmd-plugin from 3.18.0 to 3.19.0,Yes,08:36:32,1,0,4
947,Bump spotbugs from 4.7.1 to 4.7.2,Yes,08:39:48,1,0,4
946,Bump spotbugs-maven-plugin from 4.7.1.1 to 4.7.2.0,Yes,08:34:58,0,0,4
945,Bump checkstyle from 9.3 to 10.3.3,No,,2,0,2
944,Bump commons.pmd-impl.version from 6.48.0 to 6.49.0,Yes,03:37:39,0,0,2
943,Bump maven-checkstyle-plugin from 3.1.2 to 3.2.0,Yes,04:45:52,1,0,2
942,[LANG-1604] Deprecate RandomUtils in favor of Apache Commons RNG UniformRandomProvider,Yes,18:15:56,2,0,2
941,Simplifiable conditional expression.,Yes,05:37:50,1,0,4
940,Deprecate getNanosOfMiili() method with typo and create proper getNanosOfMilli(),Yes,23:01:44,1,4,36
939,Rename method and fix typo.,No,,5,0,25
938,Fix some Javadoc comments,Yes,17:57:11,1,2,18
937,Extends Object clauses are redundant,Yes,01:24:33,1,0,10
936,LANG-1604: Deprecate RandomUtils class,No,,2,3,1095
935,LANG-1603: Deprecate Fraction class,No,,2,5,3
934,Lang 1689 add optional to objectutils isempty with unpacking the optional,No,,1,0,66
933,[LANG-1689] Simple Optional in ObjectUtils#isEmpty(),Yes,"10 days, 18:00:33",5,2,20
932,Bump commons.pmd-impl.version from 6.47.0 to 6.48.0,Yes,02:08:50,0,0,2
931,Bump checkstyle from 9.3 to 10.3.2,No,,2,0,2
930,Fixed incorrect documentation,No,,1,2,6
929,Fixed incorrect documentation,No,,0,0,6
928,Bump junit-bom from 5.8.2 to 5.9.0,Yes,02:02:40,1,0,2
927,Bump spotbugs-maven-plugin from 4.7.1.0 to 4.7.1.1,Yes,02:35:39,0,0,2
926,Fix links in Javadoc and documentation,Yes,"26 days, 4:21:30",1,20,332
925,simplify condition,Yes,21:43:56,0,0,2
924,LANG-1638: Added docs regarding week year support,Yes,"42 days, 3:24:39",5,0,4
923,(doc) Fix typos in project documentations,Yes,02:17:52,0,0,308
922,Bump exec-maven-plugin from 3.0.0 to 3.1.0,Yes,02:43:21,1,0,2
921,Bump actions/cache from 3.0.4 to 3.0.5,No,,3,0,2
920,(doc) Fix typos in javadoc and comments,Yes,03:05:41,0,0,486
919,Bump spotbugs-maven-plugin from 4.7.0.0 to 4.7.1.0,Yes,07:12:50,0,0,2
918,"Javadoc: StringUtils.repeat("""", ""x"", 3) = ""xx"";",Yes,09:16:49,0,0,2
917,Bump spotbugs from 4.6.0 to 4.7.1,Yes,07:21:15,1,0,4
916,Bump checkstyle from 9.3 to 10.3.1,No,,2,0,2
915,Bump commons.pmd-impl.version from 6.46.0 to 6.47.0,Yes,"3 days, 21:31:16",0,0,2
914,Bump spotbugs from 4.6.0 to 4.7.1,No,,3,0,2
913,remove some duplicate assertion in StringUtilsTest,No,,2,4,10
912,Update ClassUtils Javadoc with some missing throws NPE,Yes,"1 day, 3:41:09",4,0,5
911,fix StringUtils.upperCase(String str) java doc,Yes,00:19:48,1,0,2
910,Bump maven-surefire-plugin from 3.0.0-M6 to 3.0.0-M7,Yes,07:48:29,0,0,4
909,Bump maven-pmd-plugin from 3.16.0 to 3.17.0,Yes,07:47:19,0,0,4
908,[LANG-1687] fix java Doc,No,,2,0,2
907,Increase test coverage of functional interfaces,Yes,"1 day, 1:34:47",5,0,115
906,Bump checkstyle from 9.3 to 10.3,No,,2,0,2
905,Bump commons.pmd-impl.version from 6.45.0 to 6.46.0,Yes,02:41:00,0,0,4
904,Add tests to increase coverage,Yes,"78 days, 16:48:47",2,8,128
903,"Add toCharacterObject(String,String) with default value.",No,,6,6,37
902,Bump spotbugs from 4.6.0 to 4.7.0,No,,2,0,2
901,Fix unstable coverage of CharSequenceUtils tests noticed during merge of PRs 898 and 899,Yes,07:15:55,4,0,4
900,Fix javadoc. Remove unused @param.,Yes,03:06:34,0,0,1
899,Increase method test coverage of MultilineRecursiveToStringStyle,Yes,04:46:07,1,0,185
898,Increase test coverage of ComparableUtils from 71% to 100%,Yes,04:12:46,3,0,151
897,Revert #896 spotbugs update,Yes,11:12:36,5,0,7
896,Bump spotbugs from 4.6.0 to 4.7.0,Yes,07:48:44,0,0,7
895,Bump spotbugs-maven-plugin from 4.6.0.0 to 4.7.0.0,Yes,07:59:27,1,0,4
894,ci: Add GitHub token permissions for workflows,Yes,00:28:10,0,0,3
893,Bump checkstyle from 9.3 to 10.2,No,,3,0,2
